Feature,Signal_0.03%,Signal_99.7%,Background_0.03%,Background_99.7%,Combined_0.03%,Combined_99.7%
deltaR_13,0.5027356836080551,4.066106838703161,0.5016812733411788,4.058700966835023,0.5016921187639236,4.059311554431915
deltaR_23,0.5019661262392998,4.127768204212192,0.5020371201336384,4.128792181015026,0.5020058073103428,4.1290144109725935
deltaR_1(23),0.1525295943081379,5.051260794162751,0.06238059768266976,4.553373916149183,0.06764665703475475,4.719048314094543
deltaR_2(13),0.13091627054959534,5.057092114925391,0.051766221929341556,4.702480397224438,0.06101490395329893,4.820107471942899
deltaR_3(12),0.18139620875269175,4.971154397010826,0.06188791922293604,4.603941195011142,0.06836560684069991,4.713723926544189
pt_123,1.915687742769718,643.7545986328142,1.2944345510601998,408.2576995849612,1.412885076344013,484.3293862915032
mt_12,0.24635930201560258,1205.3393515625078,0.0743720862083137,284.69817626953346,0.07979210536554456,865.1247735595699
mt_13,0.31064721782803534,983.2840869751002,0.11261420767381787,449.2338003540073,0.13593180183321235,751.7076947021484
mt_23,0.11580839635059237,800.6343554077235,0.09490840935707093,381.0048410034191,0.09520638275146484,629.2735867309566
mt_1MET,0.0864076933696866,1308.8167657470801,0.04459451741725206,453.855917968751,0.051241837074980125,894.2554711914057
mt_2MET,0.05357055385261774,1020.2478186645858,0.034450645186007024,400.7500259399416,0.03864531096443534,709.3344503784177
mt_3MET,0.0,749.6660411987314,0.0451855678576976,401.9976197814983,0.031913173403590914,568.6047122192379
mt_1(23),0.05381906062290071,609.162384033204,0.025297650644555685,164.52513610840103,0.024823779295198613,435.3446957397455
mt_2(13),0.05545497585833072,709.6224434204106,0.0336285605058074,185.6136248016366,0.036832816215232,519.3806704711907
mt_3(12),0.09868779062554241,631.5993973999036,0.03659090913459658,258.28694213867186,0.045439713101834055,485.44560623168934
mt_MET(12),0.034667242950946094,766.8175096435558,0.0,260.1655989074727,0.0,538.0469912719719
mt_MET(13),0.034667242950946094,766.8175096435558,0.0,260.1655989074727,0.0,538.0469912719719
mt_MET(23),0.0,596.0541574707071,0.0,216.86786079406792,0.0,434.6861485290518
mt_1(2MET),0.05381906062290071,609.162384033204,0.025297650644555685,164.52513610840103,0.024823779295198613,435.3446957397455
mt_1(3MET),0.027286878218129276,514.7726977539086,0.05157790667749941,270.42232391357487,0.04915871351957321,386.487363128662
mt_2(1MET),0.05545497585833072,709.6224434204106,0.0336285605058074,185.6136248016366,0.036832816215232,519.3806704711907
mt_2(3MET),0.04006802523843944,483.5883464050308,0.04886170210316777,248.98167648315552,0.0475758450794965,369.6031793212884
mt_3(1MET),0.09868779062554241,631.5993973999036,0.03659090913459658,258.28694213867186,0.045439713101834055,485.44560623168934
mt_3(2MET),0.05839092959165572,521.17433544922,0.03204867513477802,211.43592910766858,0.03284197909943759,396.5694322204583
mass_12,17.070047386169435,1394.98569116211,13.910031746387482,356.77056182861486,14.2888802318573,1033.5944537353503
mass_13,17.443479471969603,1159.9892663574356,15.46432519865036,540.7935040283211,15.484846287727356,856.7311395263666
mass_23,16.203959337043763,976.178847778322,14.680334270954132,474.10315078735664,15.06242561531067,740.0950061035143
mass_123,57.73307683868408,1775.6475021972715,50.021382865905764,689.767025146488,50.7286196231842,1364.3122180175774
Mt_tot,71.24037168045044,1932.7571365966799,30.918561966896057,741.4061938476574,32.83671161460877,1471.0907263183578
HNL_CM_angle_with_MET_1,0.33566699615271756,3.1166197291548956,0.3770085085841,3.091675276169749,0.3605174083472785,3.103288888699434
HNL_CM_angle_with_MET_2,0.3469268480968445,3.1121193533337905,0.34492695527615813,3.1032583462150463,0.34486913019135557,3.1059799003665796
W_CM_angle_to_plane_1,0.0,1.8207657603852567e-14,0.0,1.6653345369377348e-14,0.0,1.687538997430238e-14
W_CM_angle_to_plane_2,0.0,1.6025403226650678e-14,0.0,1.9539925233402755e-14,0.0,1.865174681370263e-14
W_CM_angle_to_plane_with_MET_1,0.00012599504949334725,1.438319973718928,0.00019019428533467465,1.4686111022593127,0.00016685853107823776,1.465055751034527
W_CM_angle_to_plane_with_MET_2,0.0001322320883460565,1.4159552107353246,0.00018389292028832838,1.4741288439781166,0.00016884290688235314,1.4680171320014548
HNL_CM_mass_1,17.613906287824637,1291.4024729492153,15.231857838577474,377.9100026256967,15.352471420219933,930.8165417744366
HNL_CM_mass_2,16.208639416040885,895.9519560395104,14.730476443300322,513.9856304377375,15.321043953216348,747.0821853086427
HNL_CM_mass_with_MET_1,40.70598289949925,1814.3656653883809,37.26633062587414,666.3166925129267,38.24753968621691,1388.1142492498557
HNL_CM_mass_with_MET_2,42.05914336296682,1485.3809566951415,31.896806774292354,711.8894729801483,32.97780156236816,1140.2760446001223
W_CM_angle_12,0.2655607548803091,3.0643005659580242,0.30348201529681684,2.9741876590251923,0.29651249913871286,3.029831360578537
W_CM_angle_13,0.28205892747044564,3.0682835655212415,0.3470373279452324,3.0482532358169556,0.3151904439628124,3.0541319739818573
W_CM_angle_23,0.25704717127680776,3.0316415643692016,0.3680546379238367,3.024116415977478,0.29768997071683406,3.0268079197406768
W_CM_angle_1MET,0.017455959746334702,3.0782188823223113,0.03080072008818388,3.035523529052735,0.026147356747649605,3.0516105341911315
W_CM_angle_2MET,0.01974535920023918,3.0538757703304293,0.027994763165712356,3.0391253244876872,0.02723308560345322,3.0428919374942778
W_CM_angle_3MET,0.023208887218497693,3.0218516607284567,0.03535234940052032,3.0416350984573404,0.03051933237724006,3.0369709801673888
n_tauh,1.0,2.0,0.0,2.0,0.0,2.0
mass_hyp,85.0,1000.0,85.0,1000.0,85.0,1000.0
